CaseSensitive	Category	Subtype	RegularExpression
No	pressure	pressureankle	\bdorsalis[- \t]*pedis[ \t]*(arter(y|ial))?[ \t]*(systolic)?[ \t]*(b\/?p\b|((blood[ \t]*)?press(\b|\.|ures?\b)?))
No	pressure	pressureankle	\bposterior[- \t]*tibial[ \t]*(arter(y|ial))?[ \t]*(systolic)?[ \t]*(b\/?p\b|((blood[ \t]*)?press(\b|\.|ures?\b)?))
No	pressure	pressuretoe	\b(toe|digit(al)?)[ \t]*pressures?\b
No	pressure	pressureankle	\bbrachial[ \t]*[-/:]?[ \t]*(arm|arter(y|ial))?[ \t]*(systolic)?[ \t]*(b\/?p\b|((blood[ \t]*)?press(\b|\.|ures?\b)?))
No	pressure	pressuretoe	\bg\.?t\.?(p(\.|\b)|[ \t]*press(\b|\.|ures?\b))?
No	pressure	pressureunspecified	\b((systolic[ \t]*)?(blood[ \t]*)?)?pressures?\b
No	range	bounded	((\b[0-1]\.[0-9]{1,2})|((?<=^|[ \t({\[])\.[0-9]{1,2})|(\b[0-2]\.?))[ \t]*(to|[-])[ \t]*(([0-1]\.[0-9]{1,2})|((?<=[ \t({\[])\.[0-9]{1,2})|(\b[0-2]\.?))	## Captures bounded ranges like 1.2 - 1.5, or .7 to .8
No	range	unbounded	((?<=^|\W)(</?=?|>/?=?|≥|≤)|>[ \t]*or[ \t]*(=|equal)[ \t]*to|less[ \t]*than|(greater|more)[ \t]*than)[ \t]{0,2}[0-1]\.[0-9]{1,2}\b	#Captures Bounded Numbers like <1.2, >0.4, etc
No	range	unbounded	((?<=^|\W)(</?=?|>/?=?|≥|≤)|>[ \t]*or[ \t]*(=|equal)[ \t]*to|less[ \t]*than|(greater|more)[ \t]*than)[ \t]{0,2}\.[0-9]{1,2}\b	#Captures Numbers like <.1,  ≥.34, etc
No	range	unbounded	((?<=^|\W)(</?=?|>/?=?|≥|≤)|>[ \t]*or[ \t]*(=|equal)[ \t]*to|less[ \t]*than|(greater|more)[ \t]*than)[ \t]{0,2}[0-2]\.?(?=([ \t)}\]/]|$))	#Captures numbers like  ≤1., etc
No	range	unbounded	\b(above|over|under|below)[ \t]{0,2}[0-2]\.?(?=([ \t)}\]/]|$))
No	range	unbounded	\b[0-1]\.[0-9]{1,2}[ \t]*(and|&)[ \t]*(higher|above|over|under|below|less)\b
No	temporal	date	\b(0?[1-9]|1[012])[- /.](0?[1-9]|[12][0-9]|3[01])[- /.](19|20)?[0-9]{2}\b
No	temporal	date	\b(jan(\.|uary)?|feb(\.|ruary)?|mar(\.|ch)?|apr(\.|il)?|may|jun(\.|e)|jul(\.|y)?|aug(\.|ust)?|sep(\.|tember)?|oct(\.|ober)?|nov(\.|ember)|dec(\.|ember)?)[ \t]+(0?[1-9]|[12][0-9]|3[01])[ \t]*[,][ \t]*(19|20)?[0-9]{2}\b
No	temporal	historical	\bearlier\b
No	temporal	historical	\bprevious(ly)?\b
No	temporal	historical	\bprior\b
No	temporal	historical	\b(last|earlier|previous|prior)[ \t]*(abi|tbi|index)\b
No	temporal	historical	\btoday\b
No	temporal	historical	\blast\b 
No	temporal	historical	\bincreas(ed|ing)([ \t]*(from))?\b
No	temporal	historical	\bimprov(ed|ing)([ \t]*(from))?\b
No	temporal	nonhistorical	\bno[ \t]*(earlier|prior|previous)\b
No	temporal	nonhistorical	\bimprov(ed|ing)([ \t]*(to))?\b
No	temporal	nonhistorical	\bincreas(ed|ing)([ \t]*(to))?\b

